% Open solar flux
% 27-day means(Bartel Rotation Periods) for 1964-December 2018 (inclusive)
% Kinematically corrected to remove folded flux
% please acknowledge M. Lockwood, University of Reading, UK
% and cite
% M. Lockwood, M. Owens, and A.P. Rouillard (2009)
% Excess Open Solar Magnetic Flux from Satellite Data: II. A survey of kinematic effects
% J. Geophys. Res., 114, A11104, doi: 10.1029/2009JA014450
% and 
% M. Lockwood, M. Owens, and A.P. Rouillard
% Excess Open Solar Magnetic Flux from Satellite Data: I. Analysis of the 3rd Perihelion Ulysses Pass
% J. Geophys. Res., 114, A11103, doi:10.1029/2009JA014449, 2009   

%  decimal year    OSF (10^15 Wb)         B (nT)       |Br| (nT)
   1.9878260e+03   2.6059969e-01   6.2381877e+00   3.0809061e+00
   1.9878999e+03   3.5733740e-01   7.0955631e+00   3.6167235e+00
   1.9879739e+03   4.1290809e-01   7.0894545e+00   3.7785455e+00
   1.9880478e+03   4.0363159e-01   8.3427007e+00   3.3645985e+00
   1.9881215e+03   3.2609384e-01   7.4937269e+00   3.0402214e+00
   1.9881953e+03   3.2435677e-01   6.4326613e+00   3.2891129e+00
   1.9882691e+03   4.1661987e-01   6.8896552e+00   3.5732759e+00
   1.9883428e+03   4.7476864e-01   8.4127413e+00   4.2787645e+00
   1.9884166e+03   3.7747268e-01   6.4448905e+00   3.5284672e+00
   1.9884904e+03   4.5180029e-01   8.1166667e+00   3.9909722e+00
   1.9885642e+03   3.8990201e-01   7.3159851e+00   3.5520446e+00
   1.9886379e+03   3.6198841e-01   6.9608844e+00   3.5316327e+00
   1.9887117e+03   4.1617496e-01   6.6958904e+00   3.6366438e+00
   1.9887855e+03   3.5883314e-01   7.6228669e+00   3.6412969e+00
   1.9888592e+03   3.5045740e-01   7.1729730e+00   3.2492492e+00
   1.9889330e+03   3.5478599e-01   7.0055728e+00   3.3705882e+00
   1.9890068e+03   4.5000982e-01   7.5188119e+00   4.0099010e+00
   1.9890808e+03   3.1945122e-01   6.0634483e+00   3.1013793e+00
   1.9891547e+03   3.5875438e-01   7.9273543e+00   4.0681614e+00
   1.9892287e+03   6.0475659e-01   9.8697778e+00   5.4515556e+00
   1.9893027e+03   5.7783181e-01   9.5823944e+00   4.9496479e+00
   1.9893767e+03   4.3771259e-01   7.3362595e+00   4.0335878e+00
   1.9894506e+03   4.8058052e-01   7.7076471e+00   3.9905882e+00
   1.9895246e+03   3.1600162e-01   5.9674576e+00   2.9227119e+00
   1.9895986e+03   3.8595283e-01   6.7705202e+00   3.3748555e+00
   1.9896725e+03   3.3255606e-01   8.6464706e+00   3.3955882e+00
   1.9897465e+03   4.8329611e-01   8.1903448e+00   4.1251724e+00
   1.9898205e+03   5.9740931e-01   9.5970674e+00   5.2436950e+00
   1.9898945e+03   6.0565418e-01   1.0448148e+01   5.0851852e+00
   1.9899684e+03   4.4954440e-01   8.6238390e+00   4.3931889e+00
   1.9900424e+03   4.3986478e-01   7.6749049e+00   3.9536122e+00
   1.9901164e+03   5.9507271e-01   8.9182131e+00   4.9439863e+00
   1.9901904e+03   4.4898218e-01   8.0115108e+00   4.1388489e+00
   1.9902643e+03   4.5896802e-01   8.0386139e+00   4.0762376e+00
   1.9903383e+03   3.8338825e-01   7.0989637e+00   3.4663212e+00
   1.9904123e+03   5.1030063e-01   8.2622490e+00   4.6943775e+00
   1.9904862e+03   3.4006877e-01   6.8600733e+00   3.2802198e+00
   1.9905602e+03   3.9668890e-01   6.5443333e+00   3.4366667e+00
   1.9906342e+03   4.2734005e-01   7.3931250e+00   3.6968750e+00
   1.9907082e+03   3.1039397e-01   6.3812500e+00   2.9974265e+00
   1.9907821e+03   3.2603021e-01   6.5814241e+00   3.4213622e+00
   1.9908561e+03   3.4152994e-01   6.7972973e+00   3.3833977e+00
   1.9909301e+03   4.6099651e-01   6.6403785e+00   3.7593060e+00
   1.9910041e+03   3.8776229e-01   7.3308970e+00   3.3142857e+00
   1.9910780e+03   2.9778063e-01   7.0569288e+00   2.8895131e+00
   1.9911520e+03   4.3685399e-01   8.1736264e+00   4.0622711e+00
   1.9912260e+03   5.9233226e-01   8.9781915e+00   4.7218085e+00
   1.9912999e+03   4.7936669e-01   8.8908257e+00   4.3311927e+00
   1.9913739e+03   4.5959545e-01   8.9828794e+00   3.8521401e+00
   1.9914479e+03   6.8978592e-01   1.1637288e+01   5.7936441e+00
   1.9915219e+03   4.8721769e-01   8.4249042e+00   4.2237548e+00
   1.9915958e+03   7.5691546e-01   1.0048980e+01   6.1812925e+00
   1.9916698e+03   6.7737491e-01   1.0806579e+01   5.7013158e+00
   1.9917438e+03   5.9641588e-01   9.5544601e+00   5.2563380e+00
   1.9918178e+03   5.8369647e-01   1.1104967e+01   5.0500000e+00
   1.9918917e+03   5.3710723e-01   8.9449814e+00   4.4840149e+00
   1.9919657e+03   7.1324287e-01   9.7383513e+00   5.8315412e+00
   1.9920396e+03   5.1132885e-01   9.9713235e+00   4.6198529e+00
   1.9921133e+03   4.7260597e-01   1.0365870e+01   4.4085324e+00
   1.9921871e+03   5.0036704e-01   9.4006969e+00   4.3327526e+00
   1.9922609e+03   4.7839163e-01   8.5549107e+00   4.2035714e+00
   1.9923346e+03   6.6220846e-01   9.7875000e+00   5.5441667e+00
   1.9924084e+03   3.7838385e-01   8.0028340e+00   3.6190283e+00
   1.9924822e+03   3.7342380e-01   6.8697819e+00   3.5971963e+00
   1.9925560e+03   3.0354285e-01   6.1724138e+00   2.8520115e+00
   1.9926297e+03   3.4733557e-01   6.8931034e+00   3.2228448e+00
   1.9927035e+03   4.3475759e-01   7.9174157e+00   3.7539326e+00
   1.9927773e+03   5.2284716e-01   7.3849462e+00   4.4048387e+00
   1.9928510e+03   3.9659925e-01   8.7404878e+00   3.7380488e+00
   1.9929248e+03   4.3570166e-01   7.8716495e+00   3.9685567e+00
   1.9929986e+03   5.3421355e-01   9.0400000e+00   4.1484848e+00
   1.9930725e+03   3.3993461e-01   5.7845455e+00   3.2918182e+00
   1.9931465e+03   3.9275950e-01   6.4756410e+00   3.6239316e+00
   1.9932205e+03   5.2068004e-01   7.8888430e+00   4.4041322e+00
   1.9932945e+03   3.2003771e-01   6.0429448e+00   3.1809816e+00
   1.9933684e+03   4.7993118e-01   7.0373057e+00   4.2041451e+00
   1.9934424e+03   3.7756580e-01   7.0483740e+00   3.4918699e+00
   1.9935164e+03   2.8128352e-01   6.3130435e+00   2.9206522e+00
   1.9935904e+03   3.6766520e-01   6.1569930e+00   3.3674825e+00
   1.9936643e+03   2.2073707e-01   6.1218605e+00   2.7674419e+00
   1.9937383e+03   4.0362881e-01   6.6550898e+00   3.4562874e+00
   1.9938123e+03   3.2584259e-01   5.7216216e+00   3.1989189e+00
   1.9938862e+03   3.7211297e-01   5.7276382e+00   3.2743719e+00
   1.9939602e+03   5.5064265e-01   7.6612500e+00   4.3358333e+00
   1.9940342e+03   4.5314792e-01   6.7195122e+00   3.6087805e+00
   1.9941082e+03   4.6860220e-01   7.9710317e+00   4.0960317e+00
   1.9941821e+03   4.2231321e-01   7.4506536e+00   3.7316993e+00
   1.9942561e+03   4.7744123e-01   6.3650735e+00   3.7661765e+00
   1.9943301e+03   3.2542158e-01   6.2103774e+00   3.1094340e+00
   1.9944041e+03   3.3680796e-01   5.6857881e+00   3.1922481e+00
   1.9944780e+03   3.2334133e-01   5.2323615e+00   3.0810496e+00
   1.9945520e+03   3.1226875e-01   4.9386431e+00   2.9141593e+00
   1.9946260e+03   2.6059690e-01   5.8870722e+00   2.6479087e+00
   1.9946999e+03   3.7144266e-01   6.1870968e+00   3.4602151e+00
   1.9947739e+03   3.1407077e-01   6.1446009e+00   3.1610329e+00
   1.9948479e+03   3.0613075e-01   6.2104938e+00   3.0604938e+00
   1.9949219e+03   4.0400830e-01   6.3114566e+00   3.1824877e+00
   1.9949958e+03   3.1181962e-01   5.8181524e+00   2.8106969e+00
   1.9950698e+03   3.2139686e-01   6.0704114e+00   3.0781646e+00
   1.9951438e+03   2.6650529e-01   6.6044892e+00   2.9317337e+00
   1.9952178e+03   2.3345190e-01   5.9405024e+00   2.6034537e+00
   1.9952917e+03   3.1579551e-01   5.9132716e+00   2.8804012e+00
   1.9953657e+03   2.8123799e-01   5.9711420e+00   3.0507716e+00
   1.9954397e+03   3.0098203e-01   5.6930556e+00   3.0945988e+00
   1.9955136e+03   2.8379541e-01   5.3623256e+00   2.7379845e+00
   1.9955876e+03   2.4590367e-01   5.3783617e+00   2.6743431e+00
   1.9956616e+03   2.7220111e-01   5.1074883e+00   2.5419657e+00
   1.9957356e+03   2.4188266e-01   5.5707472e+00   2.6914149e+00
   1.9958095e+03   2.9142635e-01   6.3470679e+00   2.9765432e+00
   1.9958835e+03   2.1558005e-01   4.8205980e+00   2.3950166e+00
   1.9959575e+03   2.4330808e-01   5.5427632e+00   2.5796053e+00
   1.9960314e+03   2.6860617e-01   4.7744337e+00   2.6273463e+00
   1.9961051e+03   3.4162638e-01   5.2438272e+00   3.0740741e+00
   1.9961789e+03   2.9873492e-01   5.0711420e+00   2.7401235e+00
   1.9962527e+03   3.0734511e-01   4.9985915e+00   2.9126761e+00
   1.9963264e+03   2.2146016e-01   4.2660407e+00   2.3114241e+00
   1.9964002e+03   2.7712780e-01   5.2828439e+00   2.6941267e+00
   1.9964740e+03   2.3415774e-01   5.0118827e+00   2.3407407e+00
   1.9965478e+03   2.6759165e-01   5.1673947e+00   2.5620905e+00
   1.9966215e+03   2.8996464e-01   5.1121914e+00   2.7583333e+00
   1.9966953e+03   2.7328180e-01   5.3219969e+00   2.8875195e+00
   1.9967691e+03   2.4940755e-01   5.3577160e+00   2.8007716e+00
   1.9968428e+03   2.5923359e-01   5.2132911e+00   2.6436709e+00
   1.9969166e+03   2.8952476e-01   5.3960937e+00   2.9704687e+00
   1.9969904e+03   2.7829542e-01   5.1977891e+00   2.7428571e+00
   1.9970643e+03   2.9111605e-01   5.6001550e+00   2.9786047e+00
   1.9971383e+03   2.4935603e-01   5.3264297e+00   2.7177743e+00
   1.9972123e+03   2.6224993e-01   4.6457364e+00   2.3902326e+00
   1.9972862e+03   2.8005990e-01   5.6680556e+00   2.7072531e+00
   1.9973602e+03   2.3553218e-01   4.9396605e+00   2.4662037e+00
   1.9974342e+03   1.8496127e-01   5.3220126e+00   1.8902516e+00
   1.9975082e+03   2.1000928e-01   5.3940157e+00   2.4321260e+00
   1.9975821e+03   2.4267344e-01   4.9871517e+00   2.3961300e+00
   1.9976561e+03   2.3850841e-01   4.9759554e+00   2.4179936e+00
   1.9977301e+03   2.5151326e-01   6.2625608e+00   2.9504052e+00
   1.9978041e+03   2.5203313e-01   5.9466989e+00   2.7296296e+00
   1.9978780e+03   2.8379054e-01   6.8245370e+00   2.8266975e+00
   1.9979520e+03   2.8215063e-01   5.8484472e+00   2.6953416e+00
   1.9980260e+03   3.0632710e-01   6.8240741e+00   3.0083333e+00
   1.9980999e+03   4.1903174e-01   6.6569444e+00   3.5692901e+00
   1.9981739e+03   2.3897921e-01   6.2023148e+00   2.7475309e+00
   1.9982479e+03   3.1429017e-01   6.7543210e+00   3.2635802e+00
   1.9983219e+03   4.3367069e-01   7.5453704e+00   3.8608025e+00
   1.9983958e+03   2.8163069e-01   6.5077160e+00   2.9550926e+00
   1.9984698e+03   3.0192014e-01   7.0205247e+00   3.1518519e+00
   1.9985438e+03   2.6559548e-01   5.8578704e+00   2.8467593e+00
   1.9986178e+03   3.6411932e-01   7.4822531e+00   3.4608025e+00
   1.9986917e+03   3.1954797e-01   6.4445988e+00   3.1523148e+00
   1.9987657e+03   3.7376226e-01   7.2277778e+00   3.7921296e+00
   1.9988397e+03   3.2406401e-01   8.1009259e+00   3.3595679e+00
   1.9989136e+03   4.2558125e-01   6.7523220e+00   3.7732198e+00
   1.9989876e+03   2.9166633e-01   7.2912037e+00   3.0091049e+00
   1.9990616e+03   3.2648565e-01   7.2040123e+00   3.5307099e+00
   1.9991356e+03   3.3065263e-01   7.7211420e+00   3.5216049e+00
   1.9992095e+03   3.2591842e-01   7.0962963e+00   3.4325617e+00
   1.9992835e+03   2.8734664e-01   6.5504630e+00   2.9552469e+00
   1.9993575e+03   2.6321747e-01   5.8274691e+00   2.9115741e+00
   1.9994314e+03   2.6947884e-01   5.7308642e+00   2.8108025e+00
   1.9995054e+03   2.4617869e-01   5.9120370e+00   2.5983025e+00
   1.9995794e+03   2.8427050e-01   6.6907407e+00   2.9629630e+00
   1.9996534e+03   3.5131296e-01   7.0121914e+00   3.4327160e+00
   1.9997273e+03   3.5774886e-01   7.2702160e+00   3.4507716e+00
   1.9998013e+03   4.0068396e-01   7.3172840e+00   3.7075617e+00
   1.9998753e+03   3.2295724e-01   7.3850962e+00   3.2625000e+00
   1.9999493e+03   3.5299284e-01   7.4052469e+00   3.5171296e+00
   2.0000232e+03   3.2967088e-01   6.5524691e+00   3.4987654e+00
   2.0000972e+03   4.2603487e-01   7.4601852e+00   3.9183642e+00
   2.0001712e+03   3.2319134e-01   6.9547840e+00   3.3938272e+00
   2.0002451e+03   3.0150563e-01   7.0524691e+00   3.1699074e+00
   2.0003191e+03   3.3036901e-01   6.8591049e+00   3.4418210e+00
   2.0003931e+03   3.5129115e-01   6.9908951e+00   3.5243827e+00
   2.0004671e+03   3.5515269e-01   7.3334877e+00   3.6158951e+00
   2.0005410e+03   2.9029189e-01   8.6342593e+00   3.2364198e+00
   2.0006150e+03   3.4073190e-01   7.6532407e+00   3.3919753e+00
   2.0006890e+03   4.0733803e-01   7.3881173e+00   3.7976852e+00
   2.0007630e+03   2.9923670e-01   7.2412037e+00   3.1933642e+00
   2.0008369e+03   3.4151730e-01   7.6746914e+00   3.3348765e+00
   2.0009109e+03   3.2301681e-01   6.7856481e+00   3.2452160e+00
   2.0009849e+03   2.4567691e-01   5.9702160e+00   2.6260802e+00
   2.0010561e+03   2.3764839e-01   5.9663580e+00   2.5141975e+00
   2.0011301e+03   2.4310255e-01   5.5121914e+00   2.4725309e+00
   2.0012041e+03   2.7305676e-01   7.0662037e+00   2.6817901e+00
   2.0012780e+03   3.9413898e-01   8.2304012e+00   3.7479938e+00
   2.0013520e+03   3.7723110e-01   6.9719136e+00   3.6160494e+00
   2.0014260e+03   2.7000244e-01   6.6990741e+00   2.9140432e+00
   2.0014999e+03   3.0547625e-01   6.2967593e+00   2.9564815e+00
   2.0015739e+03   2.7632925e-01   6.2850309e+00   2.9777778e+00
   2.0016479e+03   3.0861784e-01   6.7563272e+00   3.3367284e+00
   2.0017219e+03   3.5458545e-01   7.2851852e+00   3.3770062e+00
   2.0017958e+03   3.3425237e-01   6.9672840e+00   3.4200617e+00
   2.0018698e+03   4.0683625e-01   8.1683642e+00   3.7203704e+00
   2.0019438e+03   2.9936760e-01   7.1910494e+00   3.2131173e+00
   2.0020178e+03   4.5018586e-01   8.0049383e+00   4.2305556e+00
   2.0020917e+03   3.9848048e-01   7.3322531e+00   3.9895062e+00
   2.0021657e+03   4.6561021e-01   7.7524691e+00   4.2589506e+00
   2.0022397e+03   2.5785058e-01   7.4118827e+00   3.0544753e+00
   2.0023136e+03   3.9793507e-01   7.9361111e+00   3.9523148e+00
   2.0023876e+03   4.6231590e-01   7.7141975e+00   4.2016975e+00
   2.0024616e+03   2.7194411e-01   6.2887346e+00   2.9962963e+00
   2.0025356e+03   3.8085266e-01   6.3609568e+00   3.5614198e+00
   2.0026095e+03   2.8915742e-01   7.8354938e+00   3.0007716e+00
   2.0026835e+03   3.8189986e-01   8.0132716e+00   3.7504630e+00
   2.0027575e+03   3.6573374e-01   9.1310185e+00   3.6783951e+00
   2.0028314e+03   5.0453105e-01   8.0587963e+00   4.6450617e+00
   2.0029054e+03   4.1451570e-01   7.8567901e+00   3.8327160e+00
   2.0029794e+03   3.7819103e-01   7.9800926e+00   4.1629630e+00
   2.0030534e+03   4.2566399e-01   8.2041667e+00   4.0395062e+00
   2.0031273e+03   4.2278419e-01   7.7523148e+00   4.0802469e+00
   2.0032013e+03   4.0914881e-01   7.3679012e+00   3.8501543e+00
   2.0032753e+03   3.4876042e-01   7.1182099e+00   3.4807099e+00
   2.0033493e+03   4.1828997e-01   6.8283951e+00   3.8066358e+00
   2.0034232e+03   3.9786962e-01   7.7083333e+00   3.8138889e+00
   2.0034972e+03   4.0869066e-01   7.3783951e+00   3.8441358e+00
   2.0035712e+03   4.3949572e-01   7.6529321e+00   4.1561728e+00
   2.0036451e+03   4.0965059e-01   7.7470679e+00   3.9941358e+00
   2.0037191e+03   3.5203291e-01   6.3916667e+00   3.6368827e+00
   2.0037931e+03   5.1236322e-01   8.9481481e+00   4.5580247e+00
   2.0038671e+03   4.7562404e-01   8.5859568e+00   4.2418210e+00
   2.0039410e+03   3.8678678e-01   7.2342593e+00   3.9532407e+00
   2.0040150e+03   4.6571929e-01   7.5964506e+00   4.2787037e+00
   2.0040887e+03   4.7564585e-01   7.6018519e+00   4.3334877e+00
   2.0041625e+03   3.3933564e-01   6.4382716e+00   3.4817901e+00
   2.0042363e+03   2.8226337e-01   6.5776235e+00   3.2094136e+00
   2.0043101e+03   3.0368729e-01   6.2168210e+00   3.1722222e+00
   2.0043838e+03   3.1106131e-01   5.9682099e+00   2.8776235e+00
   2.0044576e+03   2.8957194e-01   5.7192901e+00   2.9546296e+00
   2.0045314e+03   3.1928617e-01   6.8362654e+00   3.1898148e+00
   2.0046051e+03   2.4534966e-01   6.3254630e+00   2.8953704e+00
   2.0046789e+03   2.9258263e-01   6.0154321e+00   3.1158951e+00
   2.0047527e+03   2.3361232e-01   5.6896605e+00   2.6467593e+00
   2.0048264e+03   2.5353089e-01   6.8228395e+00   2.6598765e+00
   2.0049002e+03   2.9989120e-01   6.4728395e+00   3.2935185e+00
   2.0049740e+03   3.6006142e-01   7.3206790e+00   3.6879630e+00
   2.0050479e+03   3.9647336e-01   7.8671296e+00   3.9263889e+00
   2.0051219e+03   3.2724923e-01   6.5612654e+00   3.4057099e+00
   2.0051958e+03   3.1219577e-01   6.1455247e+00   3.1773148e+00
   2.0052698e+03   2.3856469e-01   5.2799383e+00   2.7054012e+00
   2.0053438e+03   4.8262717e-01   7.0208333e+00   4.1873457e+00
   2.0054178e+03   2.3797564e-01   6.7547840e+00   2.7973765e+00
   2.0054917e+03   2.8917924e-01   6.5699074e+00   3.1049383e+00
   2.0055657e+03   2.9825495e-01   6.1856481e+00   3.0339506e+00
   2.0056397e+03   2.6419922e-01   6.5993827e+00   3.0216049e+00
   2.0057136e+03   2.5599617e-01   5.6831790e+00   2.8094136e+00
   2.0057876e+03   2.5215644e-01   5.0675926e+00   2.6870370e+00
   2.0058616e+03   2.4460789e-01   5.4087963e+00   2.7236111e+00
   2.0059356e+03   3.4228088e-01   5.9455247e+00   3.1677469e+00
   2.0060095e+03   2.2844178e-01   5.7194444e+00   2.5804012e+00
   2.0060835e+03   2.1812252e-01   5.2564815e+00   2.4805556e+00
   2.0061575e+03   1.7568921e-01   4.9621914e+00   2.3993827e+00
   2.0062314e+03   1.9290252e-01   4.8430556e+00   2.3384259e+00
   2.0063054e+03   2.4150994e-01   5.3439815e+00   2.5983025e+00
   2.0063794e+03   1.8760108e-01   4.7657407e+00   2.4493827e+00
   2.0064534e+03   2.1264655e-01   4.5958333e+00   2.2878086e+00
   2.0065273e+03   1.8197239e-01   4.7220679e+00   2.2243827e+00
   2.0066013e+03   2.0699605e-01   5.2089506e+00   2.3754630e+00
   2.0066753e+03   2.0287271e-01   4.9217593e+00   2.3765432e+00
   2.0067493e+03   1.9185532e-01   4.6884259e+00   2.2853395e+00
   2.0068232e+03   1.4043355e-01   4.5066358e+00   2.0445988e+00
   2.0068972e+03   1.7274396e-01   5.8291667e+00   2.3580247e+00
   2.0069712e+03   2.6210482e-01   5.1554012e+00   2.6141975e+00
   2.0070451e+03   2.6110126e-01   5.0645062e+00   2.7040123e+00
   2.0071191e+03   1.6925330e-01   4.5603395e+00   2.1813272e+00
   2.0071931e+03   1.4662947e-01   4.7837963e+00   2.0192901e+00
   2.0072671e+03   1.7318030e-01   4.3490741e+00   2.0875000e+00
   2.0073410e+03   1.5703600e-01   4.0219136e+00   1.9047840e+00
   2.0074150e+03   2.1495911e-01   5.2145062e+00   2.5131173e+00
   2.0074890e+03   2.0972313e-01   4.4158951e+00   2.4138889e+00
   2.0075630e+03   1.8223419e-01   4.2246914e+00   2.2328704e+00
   2.0076369e+03   1.6944965e-01   4.4038580e+00   2.0930556e+00
   2.0077109e+03   1.4503686e-01   4.1608025e+00   1.9260802e+00
   2.0077849e+03   1.2756175e-01   4.0804012e+00   1.8851852e+00
   2.0078588e+03   1.8875736e-01   4.6117284e+00   2.2657407e+00
   2.0079328e+03   1.4863660e-01   4.0901235e+00   1.9697531e+00
   2.0080068e+03   2.1914790e-01   4.3623457e+00   2.3291667e+00
   2.0080805e+03   2.3376504e-01   4.5216049e+00   2.3104938e+00
   2.0081543e+03   1.9866210e-01   4.4466049e+00   2.2029321e+00
   2.0082281e+03   2.0952678e-01   4.3294753e+00   2.2183642e+00
   2.0083019e+03   1.9567323e-01   4.3066358e+00   2.1081790e+00
   2.0083756e+03   1.9080812e-01   4.1566358e+00   2.1699074e+00
   2.0084494e+03   1.5779958e-01   4.0368827e+00   2.0668210e+00
   2.0085232e+03   1.2723450e-01   4.0609568e+00   1.7939815e+00
   2.0085969e+03   1.7797995e-01   4.2104938e+00   1.9833333e+00
   2.0086707e+03   1.5299993e-01   3.7304012e+00   1.8543210e+00
   2.0087445e+03   1.7049685e-01   4.4246914e+00   2.1040123e+00
   2.0088182e+03   1.4172074e-01   4.1410494e+00   1.9523148e+00
   2.0088920e+03   9.3898714e-02   3.7552469e+00   1.6879630e+00
   2.0089658e+03   1.6619898e-01   4.1796296e+00   1.9867284e+00
   2.0090397e+03   1.3914637e-01   4.3543210e+00   1.9040123e+00
   2.0091136e+03   1.4542956e-01   3.8453704e+00   1.7271605e+00
   2.0091876e+03   1.7414023e-01   4.1800926e+00   1.9390432e+00
   2.0092616e+03   1.6768251e-01   3.7662037e+00   1.9023148e+00
   2.0093356e+03   1.8151424e-01   3.5137346e+00   1.8064815e+00
   2.0094095e+03   1.3423764e-01   3.6029321e+00   1.5598765e+00
   2.0094835e+03   1.3205597e-01   4.0850309e+00   1.6094136e+00
   2.0095575e+03   1.1741703e-01   3.9938272e+00   1.7308642e+00
   2.0096314e+03   1.8980456e-01   4.0720679e+00   1.9618827e+00
   2.0097054e+03   1.4658584e-01   3.6016975e+00   1.6524691e+00
   2.0097794e+03   1.2581642e-01   3.9410494e+00   1.4648148e+00
   2.0098534e+03   1.5273813e-01   4.0030864e+00   1.8325617e+00
   2.0099273e+03   1.3670291e-01   3.8804012e+00   1.6891975e+00
   2.0100013e+03   1.4811300e-01   4.0334877e+00   1.6537037e+00
   2.0100753e+03   2.7399488e-01   4.7475309e+00   2.5733025e+00
   2.0101493e+03   2.2492931e-01   5.5009259e+00   2.3427469e+00
   2.0102232e+03   2.2532201e-01   4.9152778e+00   2.3981481e+00
   2.0102972e+03   2.0267636e-01   4.9115741e+00   2.2674383e+00
   2.0103712e+03   1.6888242e-01   4.6479938e+00   2.1871914e+00
   2.0104451e+03   1.9032815e-01   4.7986111e+00   2.2186728e+00
   2.0105191e+03   1.7263488e-01   4.1824074e+00   2.0266975e+00
   2.0105931e+03   1.9672042e-01   4.7496914e+00   2.0322531e+00
   2.0106671e+03   1.4446963e-01   4.0702160e+00   1.8367284e+00
   2.0107410e+03   1.5182183e-01   4.5365741e+00   1.9229938e+00
   2.0108150e+03   2.2935808e-01   4.8614198e+00   2.4040123e+00
   2.0108890e+03   2.3369959e-01   4.7878086e+00   2.5370370e+00
   2.0109630e+03   1.9338248e-01   4.4469136e+00   2.0820988e+00
   2.0110369e+03   2.3134339e-01   4.4135802e+00   2.4239198e+00
   2.0111109e+03   2.2506021e-01   5.2277778e+00   2.4379630e+00
   2.0111849e+03   1.8871373e-01   5.3439815e+00   2.0932099e+00
   2.0112588e+03   2.4598234e-01   5.7496914e+00   2.7192901e+00
   2.0113328e+03   2.2150410e-01   4.8344136e+00   2.4126543e+00
   2.0114068e+03   3.0475630e-01   5.8895062e+00   3.1368827e+00
   2.0114808e+03   2.5577800e-01   5.4381173e+00   2.5645062e+00
   2.0115547e+03   2.5078200e-01   5.0672840e+00   2.6777778e+00
   2.0116287e+03   2.3455043e-01   4.8864198e+00   2.4643519e+00
   2.0117027e+03   2.2396938e-01   5.5533951e+00   2.4904321e+00
   2.0117767e+03   2.6936975e-01   5.3216049e+00   2.6637346e+00
   2.0118506e+03   2.3060163e-01   5.6844136e+00   2.5216049e+00
   2.0119246e+03   2.0575250e-01   4.9109568e+00   2.2412037e+00
   2.0119986e+03   2.1570088e-01   5.1234568e+00   2.1862654e+00
   2.0120723e+03   1.7859082e-01   5.7483025e+00   2.3583333e+00
   2.0121461e+03   2.4281893e-01   5.9458333e+00   2.6521605e+00
   2.0122199e+03   2.2944535e-01   6.0711420e+00   2.6532407e+00
   2.0122937e+03   2.1834069e-01   5.6174383e+00   2.3506173e+00
   2.0123674e+03   2.1269019e-01   5.5220679e+00   2.4112654e+00
   2.0124412e+03   2.8101983e-01   6.4339506e+00   2.9240741e+00
   2.0125150e+03   3.0772336e-01   6.7759259e+00   3.0197531e+00
   2.0125887e+03   2.2396938e-01   5.5358025e+00   2.4347222e+00
   2.0126625e+03   2.2778728e-01   5.5834877e+00   2.4853395e+00
   2.0127363e+03   2.0309088e-01   5.5682099e+00   2.2058642e+00
   2.0128101e+03   2.1109757e-01   5.2402778e+00   2.4115741e+00
   2.0128838e+03   2.0686515e-01   5.5473765e+00   2.2277778e+00
   2.0129576e+03   1.7575466e-01   4.8467593e+00   2.0010802e+00
   2.0130314e+03   1.8764471e-01   4.7489198e+00   2.1751543e+00
   2.0131054e+03   1.8971729e-01   5.1398148e+00   2.1271605e+00
   2.0131794e+03   2.4772767e-01   5.2205247e+00   2.5402778e+00
   2.0132534e+03   2.3014348e-01   5.2325617e+00   2.4496914e+00
   2.0133273e+03   1.6547903e-01   5.0760802e+00   2.2595679e+00
   2.0134013e+03   2.7364581e-01   5.9186728e+00   2.7188272e+00
   2.0134753e+03   1.8908461e-01   5.5334877e+00   2.3157407e+00
   2.0135493e+03   2.2756912e-01   6.1563272e+00   2.4027778e+00
   2.0136232e+03   2.0682152e-01   4.9790123e+00   2.4566358e+00
   2.0136972e+03   1.7823088e-01   4.6903785e+00   2.1492114e+00
   2.0137712e+03   1.6679116e-01   4.1789984e+00   1.9697900e+00
   2.0138451e+03   2.5935593e-01   5.4050926e+00   2.5703704e+00
   2.0139191e+03   2.1312652e-01   5.1007716e+00   2.3341049e+00
   2.0139931e+03   2.0930861e-01   4.9035494e+00   2.2492284e+00
   2.0140671e+03   2.4977843e-01   5.3529321e+00   2.6455247e+00
   2.0141410e+03   2.6498461e-01   6.4780864e+00   2.7543210e+00
   2.0142150e+03   2.2069688e-01   4.8033951e+00   2.3714506e+00
   2.0142890e+03   2.5907231e-01   5.8154321e+00   2.8631173e+00
   2.0143630e+03   2.4246987e-01   5.4694444e+00   2.3043210e+00
   2.0144369e+03   2.4748769e-01   5.6220679e+00   2.4469136e+00
   2.0145109e+03   1.7582011e-01   4.9265432e+00   1.9881173e+00
   2.0145849e+03   1.8597533e-01   5.1615506e+00   2.1998418e+00
   2.0146588e+03   2.7244372e-01   6.5558502e+00   2.6684867e+00
   2.0147328e+03   3.0033525e-01   7.1340836e+00   3.1194534e+00
   2.0148068e+03   3.4657876e-01   6.6748457e+00   3.5054012e+00
   2.0148808e+03   4.3903757e-01   7.5554012e+00   4.0526235e+00
   2.0149547e+03   4.0487275e-01   7.8597222e+00   3.9683642e+00
   2.0150287e+03   3.3344515e-01   7.5223765e+00   3.6699074e+00
